PROCESO_ELECTORAL	AÑO	ORGANIZACIÓN_POLITICA	TIPO_PARTIDO	CANDIDATO_PRESIDENCIAL	PRIMER VICEPRESIDENTE	SEGUNDO VICEPRESIDENTE
ELECCIONES GENERALES 2006	2006	ALIANZA PARA EL PROGRESO	PARTIDO POLITICO	NATALE JUAN CAMILO AMPRIMO PLA	CESAR ACUÑA PERALTA	JULIA VALENZUELA CUELLAR
ELECCIONES GENERALES 2006	2006	ALIANZA POR EL FUTURO	ALIANZA ELECTORAL	MARTHA GLADYS CHÁVEZ COSSÍO	SANTIAGO FUJIMORI FUJIMORI	VICTOR ROLANDO SOUSA HUANAMBAL
ELECCIONES GENERALES 2006	2006	AVANZA PAÍS - PARTIDO DE INTEGRACION SOCIAL	PARTIDO POLITICO	ULISES HUMALA TASSO	PEDRO CENAS CASAMAYOR	CONSTANTE TRAVERSO FLORES
ELECCIONES GENERALES 2006	2006	CON FUERZA PERÚ	PARTIDO POLITICO	PEDRO GUILLERMO IVO KOECHLIN VON STEIN	WALTER REYNALDO VERA TUDELA DE LA GALA	MARIA JESUS ESPINOZA MATOS
ELECCIONES GENERALES 2006	2006	CONCERTACIÓN DESCENTRALISTA	ALIANZA ELECTORAL	SUSANA MARIA DEL CARMEN VILLARÁN DE LA PUENTE	NERY ENNI SALDARRIAGA DE KROLL	CARLOS ERNESTO PAREDES GONZALES
ELECCIONES GENERALES 2006	2006	FRENTE DE CENTRO	ALIANZA ELECTORAL	VALENTÍN PANIAGUA CORAZAO	ALBERTO MANUEL ANDRADE CARMONA	GONZALO GERMAN AGUIRRE ARRIZ
ELECCIONES GENERALES 2006	2006	FUERZA DEMOCRÁTICA	ALIANZA ELECTORAL	ALBERTO ALFONSO BOREA ODRíA	MARCO TULIO FALCONI PICARDO	YVAN ENRIQUE VASQUEZ VALERA
ELECCIONES GENERALES 2006	2006	MOVIMIENTO NUEVA IZQUIERDA	PARTIDO POLITICO	ALBERTO MORENO ROJAS DEL RÍO	JUAN JOSE GORRITTI VALLE	ALEJANDRO NARVAEZ LICERAS
ELECCIONES GENERALES 2006	2006	PARTIDO APRISTA PERUANO	PARTIDO POLITICO	ALAN GABRIEL GARCÍA PÉREZ	LUIS ALEJANDRO GIAMPIETRI ROJAS	ZOILA LOURDES CARMEN SANDRA MENDOZA DEL SOLAR
ELECCIONES GENERALES 2006	2006	PARTIDO JUSTICIA NACIONAL	PARTIDO POLITICO	JAIME EDUARDO SALINAS LÓPEZ TORRES	JOSE CARLOS LUQUE OTERO	ANA MARIA VILLAFUERTE PEZO
ELECCIONES GENERALES 2006	2006	PARTIDO RECONSTRUCCIÓN DEMOCRÁTICA	PARTIDO POLITICO	JOSÉ GUILLERMO JUAN CARDO GUARDERAS	MARCO ANTONIO ALCALDE SANCHEZ	JUANA NATIVIDAD AVELLANEDA SOTO
ELECCIONES GENERALES 2006	2006	PARTIDO RENACIMIENTO ANDINO	PARTIDO POLITICO	CIRO ALFREDO GÁLVEZ HERRERA	PATRICIA PILAR MARIMON CAMPOS	CARMEN ALEJANDRINA CASANI BARBACHAN
ELECCIONES GENERALES 2006	2006	PARTIDO SOCIALISTA	PARTIDO POLITICO	JAVIER DIEZ CANSECO CISNEROS	MARIA JOSEFINA HUAMAN VALLADARES DE JOSEPH	ALBERTO EUGENIO QUINTANILLA CHACON
ELECCIONES GENERALES 2006	2006	PERÚ AHORA	PARTIDO POLITICO	LUIS BERNARDO GUERRERO FIGUEROA	VICTOR ARMANDO ECHEGARAY PINTADO	ANDRES AVELINO ALCANTARA PAREDES
ELECCIONES GENERALES 2006	2006	PROGRESEMOS PERU	PARTIDO POLITICO	JAVIER FELIPE ESPINOZA AYAIPOMA	MANUEL SILVERIO YTO SEGUIL	AGUSTIN GUILLERMO QUEZADA SANCHEZ
ELECCIONES GENERALES 2006	2006	RESTAURACIÓN NACIONAL	PARTIDO POLITICO	HUMBERTO LAY SUN	MAXIMO SAN ROMAN CACERES	MARIA EUGENIA DE LA PUENTE DE LA PUENTE DE ONTANEDA
ELECCIONES GENERALES 2006	2006	RESURGIMIENTO PERUANO	PARTIDO POLITICO	ÁNTERO ASTO FLORES	CARLOS ARTURO BENTIN GUEDES	ROBERTO LUIS PINEDA CUELLAR
ELECCIONES GENERALES 2006	2006	UNIDAD NACIONAL	PARTIDO POLITICO	LOURDES CELMIRA ROSARIO FLORES NANO	ARTURO WOODMAN POLLITT	LUIS ENRIQUE CARPIO ASCUÑA
ELECCIONES GENERALES 2006	2006	UNIÓN POR EL PERU	PARTIDO POLITICO	OLLANTA MOISÉS HUMALA TASSO	GONZALO RAUL GARCIA NUÑEZ	CARLOS ALBERTO TORRES CARO
ELECCIONES GENERALES 2006	2006	Y SE LLAMA PERU	PARTIDO POLITICO	RICARDO WILLIAM WONG KUOMAN	ERNESTO MARTIN D'ANGELO RAMOS	JOSE DEL CARMEN SIFUENTES ZELADA
SEGUNDA VUELTA DE LA ELECCIÓN PRESIDENCIAL 2006	2006	PARTIDO APRISTA PERUANO	PARTIDO POLITICO	ALAN GABRIEL GARCÍA PÉREZ	LUIS ALEJANDRO GIAMPIETRI ROJAS	ZOILA LOURDES CARMEN SANDRA MENDOZA DEL SOLAR
SEGUNDA VUELTA DE LA ELECCIÓN PRESIDENCIAL 2006	2006	UNIÓN POR EL PERU	PARTIDO POLITICO	OLLANTA MOISÉS HUMALA TASSO	GONZALO RAUL GARCIA NUÑEZ	CARLOS ALBERTO TORRES CARO
ELECCIONES GENERALES 2011	2011	ALIANZA POR EL GRAN CAMBIO	ALIANZA ELECTORAL	PEDRO PABLO KUCZYNSKI GODARD	MAXIMO SAN ROMAN CACERES	MARIA SOLEDAD PEREZ TELLO DE RODRIGUEZ
ELECCIONES GENERALES 2011	2011	ALIANZA SOLIDARIDAD NACIONAL	ALIANZA ELECTORAL	ÓSCAR LUIS CASTAÑEDA LOSSIO	AUGUSTO FERRERO COSTA	CARMEN ROSA NUÑEZ DE ACUÑA
ELECCIONES GENERALES 2011	2011	DESPERTAR NACIONAL	PARTIDO POLITICO	RICARDO MANUEL GERMÁN NORIEGA SALAVERRY	LEONILA MARTINA PORTOCARRERO RAMOS	LUIS ROBERTO VILLAR GAMBOA
ELECCIONES GENERALES 2011	2011	FONAVISTAS DEL PERU	PARTIDO POLITICO	JOSÉ ANTONIO ÑIQUE DE LA PUENTE	ANDRES AVELINO ALCANTARA PAREDES	IRMA CECILIA GRADOS GUERRERO
ELECCIONES GENERALES 2011	2011	FUERZA 2011	PARTIDO POLITICO	KEIKO SOFÍA FUJIMORI HIGUCHI	RAFAEL REY REY	CLEMENTE JAIME YOSHIYAMA TANAKA
ELECCIONES GENERALES 2011	2011	FUERZA NACIONAL	PARTIDO POLITICO	JULIANA EDITH REYMER RODRÍGUEZ	JULIO MACEDO FIGUEROA	SERGIO GUILLERMO GALLARDO FLEMING
ELECCIONES GENERALES 2011	2011	GANA PERU	PARTIDO POLITICO	OLLANTA MOISÉS HUMALA TASSO	MARISOL ESPINOZA CRUZ	OMAR KARIM CHEHADE MOYA
ELECCIONES GENERALES 2011	2011	JUSTICIA, TECNOLOGIA, ECOLOGIA	PARTIDO POLITICO	HUMBERTO PINAZO BELLA	WILSON FREDY BARRANTES MENDOZA	VICTOR OCTAVIO GIRAO ALATRISTA
ELECCIONES GENERALES 2011	2011	PARTIDO POLITICO ADELANTE	PARTIDO POLITICO	RAFAEL LUIS BELAÚNDE AUBRY	LUIS JULIO CESAR DESTEFANO BELTRAN	SIXTO VILCAS SOLANO
ELECCIONES GENERALES 2011	2011	PERÚ POSIBLE	ALIANZA ELECTORAL	ALEJANDRO TOLEDO MANRIQUE	CARLOS RICARDO BRUCE MONTES DE OCA	JAVIER EDMUNDO REATEGUI ROSSELLO
SEGUNDA VUELTA DE LA ELECCIÓN PRESIDENCIAL 2011	2011	FUERZA 2011	PARTIDO POLITICO	KEIKO SOFÍA FUJIMORI HIGUCHI	RAFAEL REY REY	CLEMENTE JAIME YOSHIYAMA TANAKA
SEGUNDA VUELTA DE LA ELECCIÓN PRESIDENCIAL 2011	2011	GANA PERU	PARTIDO POLITICO	OLLANTA MOISÉS HUMALA TASSO	MARISOL ESPINOZA CRUZ	OMAR KARIM CHEHADE MOYA
ELECCIONES GENERALES 2016	2016	TODOS POR EL PERU	PARTIDO POLÍTICO	JULIO ARMANDO GUZMAN CACERES	JUANA MAURA UMASI LLAVE	CAROLINA LIZARRAGA HOUGHTON
ELECCIONES GENERALES 2016	2016	ACCION POPULAR	PARTIDO POLÍTICO	ISAAC ALFREDO BARNECHEA GARCIA	VICTOR ANDRES GARCIA BELAUNDE	RICARDO EDMUNDO DEL AGUILA MOROTE
ELECCIONES GENERALES 2016	2016	SIEMPRE UNIDOS	PARTIDO POLÍTICO	FELIPE BALDOMERO CASTILLO ALFARO	GUILLERMO JESUS RUIZ GUEVARA	ISAAC HUMALA NUÑEZ
ELECCIONES GENERALES 2016	2016	PERU POSIBLE	PARTIDO POLÍTICO	ALEJANDRO TOLEDO MANRIQUE	FERNANDO MARCIAL AYAIPOMA ALVARADO	MARIA DEL CARMEN OMONTE DURAND
ELECCIONES GENERALES 2016	2016	PERU PATRIA SEGURA	PARTIDO POLÍTICO	RENZO ANDRES REGGIARDO BARRETO	MILUSHKA CARRASCO GALLARDO	CARLOS FREDDI VICENTE MARCA
ELECCIONES GENERALES 2016	2016	PARTIDO NACIONALISTA PERUANO	PARTIDO POLÍTICO	DANIEL BELIZARIO URRESTI ELERA	SUSANA MARIA DEL CARMEN VILLARAN DE LA PUENTE	MACISTE ALEJANDRO DIAZ ABAD
ELECCIONES GENERALES 2016	2016	PARTIDO HUMANISTA PERUANO	PARTIDO POLÍTICO	YEHUDE SIMON MUNARO	ROSA DELSA MAVILA LEON	YORKA MARINA GAMARRA BOLUARTE
ELECCIONES GENERALES 2016	2016	PARTIDO POLITICO ORDEN	PARTIDO POLÍTICO	ANTERO FLORES ARAOZ ESPARZA	ROMULO MUCHO MAMANI	MERY LUCY BOTTON ESTRADA
ELECCIONES GENERALES 2016	2016	FUERZA POPULAR	PARTIDO POLÍTICO	KEIKO SOFIA FUJIMORI HIGUCHI	JOSE CHLIMPER ACKERMAN	VLADIMIRO HUAROC PORTOCARRERO
ELECCIONES GENERALES 2016	2016	EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD	PARTIDO POLÍTICO	VERONIKA FANNY MENDOZA FRISCH	MARCO ANTONIO ARANA ZEGARRA	ALAN CARSOL BERNABE FAIRLIE REINOSO
ELECCIONES GENERALES 2016	2016	FRENTE ESPERANZA	PARTIDO POLÍTICO	LUIS FERNANDO OLIVERA VEGA	CARLOS RICARDO CUARESMA SANCHEZ	JUANA NATIVIDAD AVELLANEDA SOTO
ELECCIONES GENERALES 2016	2016	PROGRESANDO PERU	PARTIDO POLÍTICO	MIGUEL WALTER HILARIO ESCOBAR	MANUEL EDUARDO JULIO PONCE AYALA	SILVIA LUZ PAREJA GARCIA
ELECCIONES GENERALES 2016	2016	DEMOCRACIA DIRECTA	PARTIDO POLÍTICO	GREGORIO SANTOS GUERRERO	ANDRES AVELINO ALCANTARA PAREDES	SIMON CHIPANA HUANCA
ELECCIONES GENERALES 2016	2016	PERU LIBERTARIO	PARTIDO POLÍTICO	VLADIMIR ROY CERRON ROJAS	JORGE LUIS PAREDES TERRY	JESUS MARTIN ZARATE RIOJA
ELECCIONES GENERALES 2016	2016	PERUANOS POR EL KAMBIO	PARTIDO POLÍTICO	PEDRO PABLO KUCZYNSKI GODARD	MARTIN ALBERTO VIZCARRA CORNEJO	MERCEDES ROSALBA ARAOZ FERNANDEZ
ELECCIONES GENERALES 2016	2016	PERU NACION	PARTIDO POLÍTICO	FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA	CLAUDIO ALEJANDRO ZOLLA SUAREZ	MARGARITA GAMBOA URBINA
ELECCIONES GENERALES 2016	2016	ALIANZA PARA EL PROGRESO DEL PERU	ALIANZA ELECTORAL	CESAR ACUÑA PERALTA	ANA ELENA LUISA CRISTINA TOWNSEND DIEZ CANSECO	HUMBERTO LAY SUN
ELECCIONES GENERALES 2016	2016	ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP	ALIANZA ELECTORAL	HERNANDO GUERRA GARCIA CAMPOS	JOSE LEON LUNA GALVEZ	GUSTAVO BERNARDO RONDON FUDINAGA
ELECCIONES GENERALES 2016	2016	ALIANZA POPULAR	ALIANZA ELECTORAL	ALAN GABRIEL LUDWIG GARCIA PEREZ	LOURDES CELMIRA ROSARIO FLORES NANO	DAVID ABRAHAM SALAZAR MOROTE
